DesviacionEstandar,Uniformidad,Entropia,SIFT_0,SIFT_1,SIFT_2,SIFT_3,SIFT_4,SIFT_5,SIFT_6,SIFT_7,SIFT_8,SIFT_9,SIFT_10,SIFT_11,SIFT_12,SIFT_13,SIFT_14,SIFT_15,SIFT_16,SIFT_17,SIFT_18,SIFT_19,SIFT_20,SIFT_21,SIFT_22,SIFT_23,SIFT_24,SIFT_25,SIFT_26,SIFT_27,SIFT_28,SIFT_29,SIFT_30,SIFT_31,SIFT_32,SIFT_33,SIFT_34,SIFT_35,SIFT_36,SIFT_37,SIFT_38,SIFT_39,SIFT_40,SIFT_41,SIFT_42,SIFT_43,SIFT_44,SIFT_45,SIFT_46,SIFT_47,SIFT_48,SIFT_49,SIFT_50,SIFT_51,SIFT_52,SIFT_53,SIFT_54,SIFT_55,SIFT_56,SIFT_57,SIFT_58,SIFT_59,SIFT_60,SIFT_61,SIFT_62,SIFT_63,SIFT_64,SIFT_65,SIFT_66,SIFT_67,SIFT_68,SIFT_69,SIFT_70,SIFT_71,SIFT_72,SIFT_73,SIFT_74,SIFT_75,SIFT_76,SIFT_77,SIFT_78,SIFT_79,SIFT_80,SIFT_81,SIFT_82,SIFT_83,SIFT_84,SIFT_85,SIFT_86,SIFT_87,SIFT_88,SIFT_89,SIFT_90,SIFT_91,SIFT_92,SIFT_93,SIFT_94,SIFT_95,SIFT_96,SIFT_97,SIFT_98,SIFT_99,SIFT_100,SIFT_101,SIFT_102,SIFT_103,SIFT_104,SIFT_105,SIFT_106,SIFT_107,SIFT_108,SIFT_109,SIFT_110,SIFT_111,SIFT_112,SIFT_113,SIFT_114,SIFT_115,SIFT_116,SIFT_117,SIFT_118,SIFT_119,SIFT_120,SIFT_121,SIFT_122,SIFT_123,SIFT_124,SIFT_125,SIFT_126,SIFT_127,Clase
0.000437455,0.012556705,13.20479604,0,0,0,0,0,0,0,0,143,2,0,0,0,0,0,10,161,14,3,0,0,4,27,60,13,8,5,0,2,8,60,28,0,0,0,0,0,0,0,0,161,23,0,0,0,0,0,6,161,125,22,0,0,1,12,39,13,56,49,7,5,7,33,9,0,0,0,0,0,0,0,0,161,5,0,0,0,0,0,20,161,23,3,0,2,22,16,118,47,14,7,1,4,36,18,30,0,0,0,0,0,0,0,0,157,10,0,0,0,0,0,2,161,59,5,2,3,10,1,13,40,15,9,7,8,22,5,11,1
0.002678757,0.470284345,5.005405259,56,34,0,0,116,63,1,0,124,89,2,1,72,52,1,1,3,2,1,0,124,85,0,0,0,0,0,0,2,1,0,0,43,36,13,9,124,121,3,3,124,56,10,5,61,47,4,16,27,6,10,18,124,112,2,4,0,0,0,1,23,6,0,0,36,46,41,51,76,22,0,11,75,91,124,50,49,14,0,6,8,20,124,112,106,12,0,1,0,0,1,14,20,2,0,0,7,12,61,49,5,0,0,2,0,2,26,33,5,0,0,0,0,1,23,7,0,0,0,0,0,0,0,2,0,0,0,0,1
0.000378296,0.009393966,13.46912377,0,0,0,0,0,0,0,0,111,4,0,0,0,0,0,20,148,17,2,0,2,16,23,101,18,12,25,12,6,28,12,19,1,0,0,0,0,0,0,0,148,21,0,0,0,0,0,9,148,85,1,0,8,27,14,50,11,7,3,3,14,93,66,17,1,0,0,0,0,0,0,0,148,7,0,0,0,0,0,18,148,44,13,0,0,1,3,82,32,28,35,0,0,12,57,31,0,0,0,0,0,0,0,0,91,32,0,0,0,0,0,5,148,130,106,3,1,4,6,18,5,56,148,4,1,5,4,4,1
0.000357322,0.008382843,13.56635051,44,0,0,0,0,0,0,9,174,5,0,0,1,0,0,65,102,9,6,13,30,8,0,16,0,3,12,20,38,11,7,3,87,0,0,0,0,0,0,16,174,18,2,2,1,0,0,60,93,19,16,52,46,2,2,10,8,35,18,22,21,11,20,12,106,0,0,0,0,0,0,32,174,83,14,1,1,1,6,68,39,76,63,49,29,3,5,9,56,38,14,19,45,17,5,34,131,0,0,0,0,0,0,34,174,11,1,0,12,8,17,82,23,31,16,11,50,16,12,7,80,80,4,2,20,19,1,5,1
0.000455418,0.013607787,13.30415387,39,1,0,0,0,0,0,0,208,9,1,1,1,1,0,3,84,10,22,29,23,14,0,3,7,31,22,7,5,1,0,3,48,1,0,0,0,0,0,0,208,4,0,0,1,2,1,8,123,1,1,5,72,49,8,11,30,6,3,4,18,10,10,42,47,1,0,0,0,0,0,0,208,11,0,0,0,1,0,3,147,10,4,1,17,49,22,7,7,1,0,0,3,19,56,34,36,0,0,0,0,0,0,0,208,4,0,0,0,0,0,6,119,5,3,1,0,1,17,24,4,1,0,1,2,1,16,21,1
0.002177223,0.310675501,6.948675111,17,0,0,0,0,0,0,4,145,0,0,0,2,1,21,108,54,0,0,4,39,37,110,56,8,0,0,0,4,8,109,46,36,1,0,0,0,0,0,3,145,40,8,1,6,1,0,33,95,23,28,17,68,10,1,17,29,17,6,1,3,1,4,31,16,10,0,0,0,0,0,0,120,145,94,1,1,0,0,1,16,143,145,20,8,1,0,1,6,139,145,2,0,0,1,3,0,1,0,0,0,0,0,0,0,16,22,0,0,0,0,0,0,45,64,0,0,0,0,0,0,49,120,0,0,0,0,0,1
0.002052495,0.276101001,7.374144112,0,0,0,0,0,0,0,2,1,0,0,0,0,1,30,31,0,0,0,0,0,6,91,9,15,1,0,0,0,1,50,48,8,0,0,0,0,0,0,6,121,18,3,0,0,7,65,131,16,8,22,5,0,63,131,47,13,4,27,2,0,12,131,29,9,3,0,0,0,0,0,1,131,121,33,1,0,1,11,41,21,45,131,34,0,31,89,23,0,6,131,20,1,13,95,8,5,1,0,0,0,0,0,1,124,65,14,0,0,0,11,48,29,37,110,7,1,34,103,33,0,2,95,12,1,20,129,8,1
0.001234624,0.099911484,10.19166196,0,0,0,0,0,5,37,3,0,0,0,0,0,5,30,8,0,0,0,0,0,0,59,5,0,0,0,0,0,8,38,0,2,1,4,39,36,86,136,23,54,2,1,14,25,55,133,121,11,0,0,0,5,28,136,47,0,0,0,1,38,77,136,0,10,4,14,116,94,90,18,8,136,36,4,39,43,33,10,36,55,19,8,24,29,23,36,15,0,0,0,7,136,25,14,0,6,5,21,90,85,57,4,1,136,32,6,35,27,12,1,2,54,10,4,8,4,2,2,4,0,0,0,2,106,28,3,3,1
0.001537263,0.154888521,9.208229618,0,0,0,0,0,2,83,4,0,0,0,0,1,23,57,4,1,0,0,0,0,3,67,34,0,0,0,0,0,1,125,7,0,1,95,34,5,6,136,9,31,4,67,46,36,56,73,15,148,6,2,4,6,7,109,148,21,6,0,0,3,7,148,51,1,0,69,35,21,62,43,2,88,10,61,21,9,24,10,0,148,19,2,2,0,0,1,10,67,20,0,0,7,2,4,8,5,2,1,6,44,78,54,4,68,4,0,5,89,41,8,0,148,22,0,0,1,0,0,0,46,25,1,0,0,1,0,1,1
0.000379922,0.009474759,13.30852266,44,3,0,0,0,0,0,0,204,63,8,1,0,0,0,21,56,26,36,16,3,1,22,79,1,4,9,18,7,3,48,21,53,1,0,0,0,0,0,1,204,8,1,0,0,0,1,69,116,6,6,11,19,15,14,99,0,4,6,13,33,33,5,3,50,1,0,0,0,0,0,1,204,44,3,0,0,0,0,10,120,36,40,20,5,3,1,7,0,0,14,22,19,9,1,1,36,2,0,0,0,0,0,0,204,21,1,1,1,0,0,7,96,12,19,26,9,1,1,6,0,1,40,51,4,0,0,0,1
